ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max,entity_id
2026-09-11 13:00:00,15.488771438598633,11.668864250183105,25.048839569091797,11.668864250183105,25.048839569091797,MTkyLjE2OC4xMi44Ng___1
2026-09-11 14:00:00,14.519109725952148,11.201668739318848,22.378665924072266,11.201668739318848,22.378665924072266,MTkyLjE2OC4xMi44Ng___1
2026-09-11 15:00:00,14.400238037109375,11.201709747314453,21.572364807128906,11.201709747314453,21.572364807128906,MTkyLjE2OC4xMi44Ng___1
2026-09-11 16:00:00,14.089323043823242,10.868932723999023,21.17962074279785,10.868932723999023,21.17962074279785,MTkyLjE2OC4xMi44Ng___1
2026-09-11 17:00:00,14.102949142456055,10.71273422241211,21.41046905517578,10.71273422241211,21.41046905517578,MTkyLjE2OC4xMi44Ng___1
2026-09-11 18:00:00,13.849433898925781,10.623973846435547,20.77007293701172,10.623973846435547,20.77007293701172,MTkyLjE2OC4xMi44Ng___1
2026-09-11 19:00:00,13.632396697998047,10.427530288696289,19.773639678955078,10.427530288696289,19.773639678955078,MTkyLjE2OC4xMi44Ng___1
2026-09-11 20:00:00,13.392280578613281,10.165141105651855,19.83171844482422,10.165141105651855,19.83171844482422,MTkyLjE2OC4xMi44Ng___1
2026-09-11 21:00:00,13.453092575073242,9.965781211853027,20.028438568115234,9.965781211853027,20.028438568115234,MTkyLjE2OC4xMi44Ng___1
2026-09-11 22:00:00,13.177316665649414,9.831180572509766,19.645992279052734,9.831180572509766,19.645992279052734,MTkyLjE2OC4xMi44Ng___1
2026-09-11 23:00:00,13.065245628356934,9.330016136169434,19.79932403564453,9.330016136169434,19.79932403564453,MTkyLjE2OC4xMi44Ng___1
2026-09-12 00:00:00,12.940695762634277,8.986602783203125,19.744739532470703,8.986602783203125,19.744739532470703,MTkyLjE2OC4xMi44Ng___1
2026-09-12 01:00:00,12.782421112060547,8.674948692321777,20.058792114257812,8.674948692321777,20.058792114257812,MTkyLjE2OC4xMi44Ng___1
2026-09-12 02:00:00,12.6456937789917,8.582714080810547,19.546232223510742,8.582714080810547,19.546232223510742,MTkyLjE2OC4xMi44Ng___1
2026-09-12 03:00:00,12.51148509979248,8.242229461669922,18.974245071411133,8.242229461669922,18.974245071411133,MTkyLjE2OC4xMi44Ng___1
2026-09-12 04:00:00,12.466984748840332,8.296926498413086,18.795209884643555,8.296926498413086,18.795209884643555,MTkyLjE2OC4xMi44Ng___1
2026-09-12 05:00:00,12.31137466430664,8.611924171447754,18.610706329345703,8.611924171447754,18.610706329345703,MTkyLjE2OC4xMi44Ng___1
