ds,cpu_forecast_mean,cpu_forecast_min,cpu_forecast_max,cpu_lower,cpu_upper,entity_id
2026-09-11,13.924559766596014,9.330016136169434,25.048839569091797,10.54523025859486,21.03992236744274,MTkyLjE2OC4xMi44Ng___1
2026-09-12,12.682161966959635,7.338429927825928,23.153186798095703,7.995472172896068,21.185685873031616,MTkyLjE2OC4xMi44Ng___1
2026-09-13,12.85656758149465,5.404129981994629,23.64578628540039,6.561721821626027,22.974146048227947,MTkyLjE2OC4xMi44Ng___1
2026-09-14,12.28883425394694,3.9365639686584473,24.707401275634766,4.646002292633057,23.10836585362752,MTkyLjE2OC4xMi44Ng___1
2026-09-15,12.463779290517172,3.0066986083984375,27.180328369140625,3.629789133866628,25.77520529429118,MTkyLjE2OC4xMi44Ng___1
2026-09-16,11.862981875737509,1.5666332244873047,28.694637298583984,2.1126482288042703,26.585543950398762,MTkyLjE2OC4xMi44Ng___1
2026-09-17,12.00708798567454,1.4553580284118652,28.706409454345703,1.9074551661809285,27.99885368347168,MTkyLjE2OC4xMi44Ng___1
2026-09-18,11.666720390319824,0.5914692878723145,28.685211181640625,1.209853172302246,27.467623233795166,MTkyLjE2OC4xMi44Ng___1
2026-09-19,11.778096477190653,0.38033580780029297,30.422992706298828,0.8753271500269572,29.17577902475993,MTkyLjE2OC4xMi44Ng___1
2026-09-20,11.607386072476706,-0.14411258697509766,33.04840850830078,0.6310819983482361,30.348438898722332,MTkyLjE2OC4xMi44Ng___1
2026-09-21,12.344625353813171,0.6825394630432129,32.62962341308594,1.2237338423728943,31.199459234873455,MTkyLjE2OC4xMi44Ng___1
2026-09-22,12.067029356956482,0.4218788146972656,32.537445068359375,0.9071892698605856,30.601222197214764,MTkyLjE2OC4xMi44Ng___1
2026-09-23,12.130831917126974,-0.19290733337402344,35.45509338378906,0.4715680480003357,32.86724058787028,MTkyLjE2OC4xMi44Ng___1
2026-09-24,11.636735280354818,-0.8178958892822266,36.558433532714844,-0.13384515047073364,34.15284951527914,MTkyLjE2OC4xMi44Ng___1
2026-09-25,11.520851016044617,-0.5528087615966797,38.26521301269531,-0.11103248596191406,35.723920822143555,MTkyLjE2OC4xMi44Ng___1
2026-09-26,10.669799963633219,-1.3326740264892578,35.98851013183594,-0.798501173655192,34.40144888559977,MTkyLjE2OC4xMi44Ng___1
2026-09-27,10.346070528030396,-1.8923377990722656,39.532188415527344,-1.3375312487284343,36.66181802749634,MTkyLjE2OC4xMi44Ng___1
2026-09-28,9.758593440055847,-2.523550033569336,39.88775634765625,-2.0823537906010947,37.66714827219645,MTkyLjE2OC4xMi44Ng___1
2026-09-29,10.0446963707606,-2.1198949813842773,39.75511169433594,-1.6428297758102417,38.19145027796427,MTkyLjE2OC4xMi44Ng___1
2026-09-30,9.697433034578959,-2.3909358978271484,38.91573715209961,-1.9367212454477947,37.35048866271973,MTkyLjE2OC4xMi44Ng___1
2026-10-01,9.36635148525238,-2.417621612548828,38.638187408447266,-1.967411756515503,36.8822668393453,MTkyLjE2OC4xMi44Ng___1
2026-10-02,9.069462855656942,-2.6345739364624023,40.151611328125,-2.1881996790568032,37.405152002970375,MTkyLjE2OC4xMi44Ng___1
2026-10-03,9.675214489301046,-2.034581184387207,39.06995391845703,-1.5991673072179158,37.47093486785889,MTkyLjE2OC4xMi44Ng___1
2026-10-04,9.332655946413675,-2.037522315979004,38.68202590942383,-1.6792449553807576,35.64289951324463,MTkyLjE2OC4xMi44Ng___1
2026-10-05,9.246805628140768,-2.7711973190307617,42.48579406738281,-1.9640317757924397,38.83678865432739,MTkyLjE2OC4xMi44Ng___1
2026-10-06,9.25483524799347,-2.7525672912597656,45.238101959228516,-2.2997157176335654,41.50496768951416,MTkyLjE2OC4xMi44Ng___1
2026-10-07,9.666751424471537,-2.574338912963867,44.075504302978516,-1.9835798343022664,41.70387442906698,MTkyLjE2OC4xMi44Ng___1
2026-10-08,9.16815996170044,-2.685422897338867,40.4339485168457,-2.2194997866948447,38.66936572392782,MTkyLjE2OC4xMi44Ng___1
2026-10-09,9.07011866569519,-3.0263195037841797,43.15282440185547,-2.0485059022903442,39.87708298365275,MTkyLjE2OC4xMi44Ng___1
2026-10-10,8.504050731658936,-2.977341651916504,43.51517868041992,-2.390446980794271,39.94432067871094,MTkyLjE2OC4xMi44Ng___1
2026-10-11,8.577571648817797,-2.8840389251708984,42.36581802368164,-2.3292841544518104,40.55713477501502,MTkyLjE2OC4xMi44Ng___1
