ds,cpu_pct_yhat,cpu_pct_lower,cpu_pct_upper,memory_pct_yhat,memory_pct_lower,memory_pct_upper,disk_pct_yhat,disk_pct_lower,disk_pct_upper,disk_read_bytes_yhat,disk_read_bytes_lower,disk_read_bytes_upper,disk_write_bytes_yhat,disk_write_bytes_lower,disk_write_bytes_upper
2026-08-29,5.577704429626465,4.958991527557373,6.530111789703369,84.0786361694336,83.03376007080078,85.16443634033203,65.4469985961914,65.31510925292969,65.57977294921875,111135.1328125,105526.5625,126785.5234375,9335.236328125,6828.1806640625,12948.7021484375
2026-08-30,1.4431560039520264,0.7951986789703369,2.5175678730010986,84.18340301513672,82.32160186767578,85.74922180175781,65.4287338256836,65.20394134521484,65.7595443725586,6258.7119140625,3498.6943359375,10486.3017578125,8402.3740234375,5750.8583984375,12961.1328125
2026-08-31,1.3682781457901,0.681718111038208,2.530550003051758,84.22266387939453,80.75897216796875,86.16288757324219,65.4375228881836,65.08907318115234,65.9283676147461,856.892578125,0.0,2238.361328125,8496.1015625,5797.908203125,13751.708984375
2026-09-01,1.5461578369140625,0.7832067012786865,2.858975887298584,84.12521362304688,78.79557800292969,86.33145904541016,65.41200256347656,64.96640014648438,66.05677795410156,1966.8330078125,758.892578125,3175.611328125,8898.41796875,6063.3681640625,14904.2490234375
2026-09-02,1.4436664581298828,0.5861072540283203,2.9171721935272217,83.9530029296875,76.9281005859375,86.541259765625,65.42294311523438,64.8869857788086,66.17977142333984,689.0908203125,0.0,1977.490234375,8760.3115234375,5771.681640625,15804.03515625
2026-09-03,1.1714892387390137,0.2932922840118408,2.795963764190674,83.74583435058594,75.14783477783203,86.487548828125,65.4317626953125,64.84104919433594,66.3282699584961,0.0,0.0,589.912109375,8456.5166015625,5777.55078125,16685.916015625
2026-09-04,1.2765353918075562,0.29465532302856445,3.0382535457611084,83.5367660522461,74.11205291748047,86.53675842285156,65.43941497802734,64.79812622070312,66.51033782958984,1950.80078125,0.0,6205.2080078125,8757.0732421875,5895.8896484375,18324.7109375
2026-09-05,5.896798133850098,4.58624267578125,8.00912094116211,83.3614730834961,73.13877868652344,86.4786376953125,65.43309783935547,64.76051330566406,66.64155578613281,110644.109375,97187.4296875,124163.0234375,10034.5810546875,7177.439453125,21232.21875
2026-09-06,1.8249905109405518,0.6216211318969727,3.866729259490967,83.30593872070312,72.61946868896484,86.61248779296875,65.43185424804688,64.70523834228516,66.76366424560547,5594.4287109375,301.9833984375,10527.5673828125,8752.1357421875,5888.8828125,21197.29296875
2026-09-07,1.6220721006393433,0.4307272434234619,3.6565165519714355,83.28611755371094,72.60337829589844,86.76878356933594,65.42826843261719,64.65882110595703,66.88013458251953,578.6953125,0.0,3339.3115234375,8832.4169921875,5977.201171875,23161.82421875
