ds,cpu_forecast_mean,cpu_lower,cpu_upper,cpu_forecast_min,cpu_forecast_max
2026-09-14 11:00:00,11.651824,3.737671,17.47074,3.737671,17.47074
2026-09-14 12:00:00,11.650902,3.7815056,17.592285,3.7815056,17.592285
2026-09-14 13:00:00,11.639442,3.7680626,17.665016,3.7680626,17.665016
2026-09-14 14:00:00,11.640597,3.778984,17.776184,3.778984,17.776184
2026-09-14 15:00:00,11.597594,3.6859722,17.7507,3.6859722,17.7507
2026-09-14 16:00:00,11.649313,3.6446674,17.866909,3.6446674,17.866909
2026-09-14 17:00:00,11.660845,3.5847986,17.917498,3.5847986,17.917498
2026-09-14 18:00:00,11.683372,3.5671282,17.94513,3.5671282,17.94513
2026-09-14 19:00:00,11.64621,3.4618483,17.919777,3.4618483,17.919777
2026-09-14 20:00:00,11.643302,3.4594398,17.9222,3.4594398,17.9222
2026-09-14 21:00:00,11.622001,3.463918,17.877815,3.463918,17.877815
2026-09-14 22:00:00,11.608297,3.4575336,17.869896,3.4575336,17.869896
2026-09-14 23:00:00,11.545734,3.355879,17.901842,3.355879,17.901842
2026-09-15 00:00:00,11.55724,3.3872075,17.921356,3.3872075,17.921356
2026-09-15 01:00:00,11.5464115,3.3462846,17.948034,3.3462846,17.948034
2026-09-15 02:00:00,11.521091,3.3473287,17.957605,3.3473287,17.957605
2026-09-15 03:00:00,11.461767,3.3241444,17.881248,3.3241444,17.881248
2026-09-15 04:00:00,11.490105,3.291729,17.953558,3.291729,17.953558
2026-09-15 05:00:00,11.488871,3.319167,17.971527,3.319167,17.971527
2026-09-15 06:00:00,11.499056,3.3219683,18.015856,3.3219683,18.015856
2026-09-15 07:00:00,11.460311,3.2877803,17.992691,3.2877803,17.992691
2026-09-15 08:00:00,11.466145,3.2850385,18.005556,3.2850385,18.005556
2026-09-15 09:00:00,11.465005,3.2098143,18.04063,3.2098143,18.04063
2026-09-15 10:00:00,11.4729,3.213771,18.038065,3.213771,18.038065
2026-09-15 11:00:00,11.443947,3.130869,18.068295,3.130869,18.068295
2026-09-15 12:00:00,11.458413,3.097446,18.104843,3.097446,18.104843
2026-09-15 13:00:00,11.434685,3.1190982,18.064108,3.1190982,18.064108
2026-09-15 14:00:00,11.419196,3.048016,18.079124,3.048016,18.079124
2026-09-15 15:00:00,11.3982525,2.9941185,18.094782,2.9941185,18.094782
2026-09-15 16:00:00,11.42591,2.9598675,18.160038,2.9598675,18.160038
2026-09-15 17:00:00,11.406921,2.904632,18.15429,2.904632,18.15429
2026-09-15 18:00:00,11.410738,2.891138,18.16563,2.891138,18.16563
2026-09-15 19:00:00,11.348362,2.8133636,18.170473,2.8133636,18.170473
2026-09-15 20:00:00,11.358781,2.807772,18.239433,2.807772,18.239433
2026-09-15 21:00:00,11.345996,2.7986174,18.264193,2.7986174,18.264193
2026-09-15 22:00:00,11.355026,2.8078506,18.339798,2.8078506,18.339798
