ds,yhat,yhat_lower,yhat_upper
2026-09-11 12:00:00,11.742006630311144,8.007204962195468,15.47680829842682
2026-09-11 13:00:00,11.899098528104412,8.072065646723901,15.726131409484923
2026-09-11 14:00:00,11.876295498920312,7.95920246323995,15.793388534600673
2026-09-11 15:00:00,12.160786276179463,8.15565768583638,16.16591486652255
2026-09-11 16:00:00,15.696324857222827,11.60505461435307,19.78759510009258
2026-09-11 17:00:00,13.496920978842525,9.321285772649395,17.672556185035653
2026-09-11 18:00:00,12.997442905006745,8.739113825401985,17.255771984611506
2026-09-11 19:00:00,13.269790672411993,8.930343273812085,17.6092380710119
2026-09-11 20:00:00,12.732303443983536,8.313226515458362,17.15138037250871
2026-09-11 21:00:00,12.882319941866829,8.385023189902215,17.379616693831444
2026-09-11 22:00:00,13.14895041880582,8.574771230116394,17.723129607495245
2026-09-11 23:00:00,13.051684925193157,8.401894346549058,17.70147550383726
2026-09-12 00:00:00,13.220714865499598,8.49652291340288,17.94490681759632
2026-09-12 01:00:00,13.235442986433652,8.438003380220419,18.032882592646885
2026-09-12 02:00:00,13.083540734677744,8.213955131130827,17.95312633822466
2026-09-12 03:00:00,13.0879817611561,8.147303556164465,18.028659966147735
2026-09-12 04:00:00,13.244799520584525,8.234037273152769,18.255561768016282
2026-09-12 05:00:00,13.115059137270718,8.035179662785588,18.19493861175585
2026-09-12 06:00:00,13.770231634485775,8.622162807216341,18.91830046175521
2026-09-12 07:00:00,13.113457629215944,7.898090928272348,18.32882433015954
2026-09-12 08:00:00,13.302730202025863,8.020923030203015,18.58453737384871
2026-09-12 09:00:00,13.550754141765474,8.203331942674847,18.8981763408561
2026-09-12 10:00:00,13.447654112229046,8.035412307732944,18.859895916725147
2026-09-12 11:00:00,13.541644306193476,8.065350073288965,19.017938539097987
