ds,cpu_pct_yhat,cpu_pct_lower,cpu_pct_upper,memory_pct_yhat,memory_pct_lower,memory_pct_upper,disk_pct_yhat,disk_pct_lower,disk_pct_upper,disk_read_bytes_yhat,disk_read_bytes_lower,disk_read_bytes_upper,disk_write_bytes_yhat,disk_write_bytes_lower,disk_write_bytes_upper
2026-08-29,6.858424712536033,5.8151824823697655,7.901666942702301,72.32468158836761,68.83370957119674,75.81565360553849,64.07482111599408,63.25426144553791,64.89538078645026,101540.97155506909,0.0,212407.47833572247,33627.42048472382,21116.777703106378,46138.06326634127
2026-08-30,3.857314048447192,2.788308871498828,4.926319225395556,72.4096719699698,68.83249013144054,75.98685380849908,64.16001031018332,63.319186855813676,65.00083376455297,10199.779891751892,0.0,123804.14354928004,29163.14715086937,16343.55308749519,41982.74121424355
2026-08-31,3.8714870373889467,2.777325355605803,4.965648719172091,72.83599623979538,69.17463389947216,76.4973585801186,64.21845947070945,63.35784922788343,65.07906971353546,16263.548238901923,0.0,132541.3215161673,30195.214876949252,17073.94203129284,43316.48772260566
2026-09-01,3.856564719434455,2.737812064276653,4.975317374592256,73.2300082357999,69.48635781563902,76.97365865596078,64.21349712783082,63.33354491396008,65.09344934170156,9037.173431341944,0.0,127928.25667397358,30362.973349471016,16946.80361923049,43779.143079711546
2026-09-02,3.9118792989112103,2.769064694103087,5.0546939037193335,72.93592869487429,69.11176045202669,76.7600969377219,64.14636454334354,63.24748646076783,65.04524262591924,9059.403841782423,0.0,130507.57711290904,31260.123518070253,17555.40099730815,44964.84603883236
2026-09-03,3.9854242301804494,2.819043958355321,5.151804502005578,72.93975410577876,69.03672873680694,76.84277947475059,64.01659824255505,63.099184641187634,64.93401184392246,9038.052309815965,0.0,132990.57510455715,31176.351178242916,17189.027327286087,45163.675029199745
2026-09-04,4.0581045759377306,2.868625422676533,5.247583729198928,72.94487749696802,68.96455699328101,76.92519800065503,64.00736475606948,63.0717827849879,64.94294672715105,32613.60800226219,0.0,159020.87450015015,32619.658100280154,18355.330648486022,46883.985552074286
2026-09-05,6.899598851283123,5.687460916234851,8.111736786331395,72.199559081832,68.14341613645833,76.25570202720569,64.01218586892287,63.058781687449006,64.96559005039673,101943.52004394529,0.0,230758.76036804396,33948.750591646996,19412.697248580676,48484.803934713316
2026-09-06,3.8984881871942823,2.664107333841799,5.132869040546765,72.2845494634342,68.15397566860398,76.41512325826443,64.09737506311211,63.12647576766958,65.06827435855465,10602.328380628085,0.0,141781.34825820808,29484.47725779254,14681.685091010919,44287.26942457416
2026-09-07,3.912661176136037,2.656431177822305,5.168891174449769,72.71087373325976,68.50718676159171,76.91456070492781,64.15582422363823,63.16773953570417,65.1439089115723,16666.096727778113,0.0,150167.04942973363,30516.544983872427,15451.736154239268,45581.353813505586
2026-09-08,3.897738858181545,2.620033287166285,5.175444429196805,73.1048857292643,68.8293356550627,77.38043580346589,64.1508618807596,63.145885632697635,65.15583812882157,9439.721920218133,0.0,145222.9075089242,30684.303456394187,15361.957871796021,46006.64904099236
2026-09-09,3.9530534376583013,2.6542273354631125,5.2518795398534905,72.81080618833869,68.46458107702212,77.15703129965526,64.08372929627232,63.062140745138514,65.10531784740613,9461.952330658616,0.0,147489.64015054578,31581.453624993428,16005.828971249464,47157.07827873739
2026-09-10,4.026598368927539,2.706989729487928,5.34620700836715,72.81463159924316,68.39886247037418,77.23040072811213,63.95396299548385,62.91602798959637,64.99189800137133,9440.600798692154,0.0,149676.8718600387,31497.681285166087,15672.830812103834,47322.53175822834
2026-09-11,4.099278714684821,2.7592098064477195,5.439347622921922,72.8197549904324,68.33552024181523,77.30398973904957,63.94472950899826,62.89070152783002,64.9987574901665,33016.156491138376,0.0,175426.76296930312,32940.98820720333,16870.776583355917,49011.19983105074
2026-09-12,6.940772990030213,5.5805515388084315,8.300994441251996,72.07443657529639,67.52276594112928,76.6261072094635,63.94955062185164,62.87967170640161,65.01942953730168,102346.06853282147,0.0,246898.30806499172,34270.080698570164,17958.198196059842,50581.963201080485
2026-09-13,3.9396623259413723,2.559582576831197,5.319742075051548,72.1594269568986,67.54130506123877,76.77754885255843,64.03473981604091,62.949241404082834,65.12023822799898,11004.876869504275,0.0,157667.4797035368,29805.807364715714,13255.78259385316,46355.83213557827
2026-09-14,3.953835314883127,2.5541789886929727,5.353491641073282,72.58575122672416,67.90212078395797,77.26938166949034,64.09318897656702,62.992292654926125,65.19408529820792,17068.645216654306,0.0,165811.67257034374,30837.8750907956,14053.086469647402,47622.663711943795
