ds,cpu_pct_yhat,cpu_pct_yhat_lower,cpu_pct_yhat_upper,memory_pct_yhat,memory_pct_yhat_lower,memory_pct_yhat_upper,disk_pct_yhat,disk_pct_yhat_lower,disk_pct_yhat_upper,disk_read_bytes_yhat,disk_read_bytes_yhat_lower,disk_read_bytes_yhat_upper,disk_write_bytes_yhat,disk_write_bytes_yhat_lower,disk_write_bytes_yhat_upper,host
2026-08-29,6.362051963806152,5.701698303222656,6.758834362030029,73.2163314819336,72.5754623413086,74.4543228149414,63.95255661010742,63.59737014770508,64.33454895019531,137278.390625,126433.6171875,152198.515625,33251.6171875,28787.515625,36285.609375,JPRUPIWEBCRP02
2026-08-30,3.9469151496887207,3.072425127029419,4.577805995941162,73.35801696777344,72.31895446777344,74.86669921875,63.98461151123047,63.31634521484375,64.53124237060547,1376.2490234375,102.4580078125,3264.2490234375,30661.40234375,24727.61328125,34182.703125,JPRUPIWEBCRP02
2026-08-31,3.9378247261047363,2.8961799144744873,4.688958644866943,73.2828140258789,72.17517852783203,76.2201156616211,63.949073791503906,63.19979476928711,64.682861328125,1531.361328125,95.94921875,2989.9833984375,31277.68359375,24614.9453125,35272.578125,JPRUPIWEBCRP02
2026-09-01,3.763101100921631,2.5394136905670166,4.739352226257324,73.45772552490234,71.95450592041016,78.14414978027344,64.02685546875,63.12955856323242,65.0905532836914,1292.1884765625,0.0,2942.21484375,30727.34375,22143.453125,35624.4765625,JPRUPIWEBCRP02
2026-09-02,3.614780902862549,2.3114070892333984,4.750133514404297,73.4661865234375,71.83792114257812,79.08721923828125,64.08151245117188,62.971405029296875,65.44126892089844,1363.7568359375,0.0,2491.1240234375,30510.99609375,20335.556640625,36009.8984375,JPRUPIWEBCRP02
2026-09-03,3.647067070007324,2.3304591178894043,4.789764881134033,73.31938934326172,71.62885284423828,80.08309173583984,64.16719818115234,62.8265380859375,65.86099243164062,1194.650390625,0.0,2416.81640625,29767.19921875,18434.46875,36042.3203125,JPRUPIWEBCRP02
2026-09-04,3.6743500232696533,2.3150510787963867,4.831050872802734,73.52162170410156,71.5291748046875,80.74982452392578,64.2354736328125,62.747802734375,66.0689697265625,954.63671875,0.0,2900.1494140625,29631.205078125,16426.74609375,36461.09375,JPRUPIWEBCRP02
2026-09-05,6.1933441162109375,4.755188941955566,7.323973655700684,73.37279510498047,71.30084228515625,81.24618530273438,64.30525207519531,62.540687561035156,66.43423461914062,139769.203125,126667.7578125,154226.1875,31858.40625,19002.3828125,38310.6875,JPRUPIWEBCRP02
2026-09-06,3.3447067737579346,1.7960492372512817,4.825628280639648,73.72600555419922,71.2662124633789,81.93303680419922,64.38236999511719,62.46375274658203,66.72035217285156,1136.6416015625,0.0,3251.5751953125,27315.21875,10042.3486328125,36694.64453125,JPRUPIWEBCRP02
2026-09-07,3.3813247680664062,1.8136833906173706,4.892271041870117,73.95703125,71.16224670410156,82.3947525024414,64.4667739868164,62.46234893798828,67.0139389038086,1356.0947265625,91.103515625,2621.1953125,27882.931640625,9800.47265625,37781.078125,JPRUPIWEBCRP02
2026-09-08,3.4341413974761963,1.802367091178894,4.965575218200684,73.66293334960938,71.16677856445312,82.99332427978516,64.57101440429688,62.45851135253906,67.07957458496094,1693.6748046875,408.994140625,3109.7275390625,28835.767578125,10099.421875,38262.640625,JPRUPIWEBCRP02
2026-09-09,3.4039416313171387,1.7469414472579956,5.062078475952148,73.50558471679688,70.86957550048828,82.35224151611328,64.6270523071289,62.27726745605469,67.27518463134766,1333.5078125,59.86328125,2816.7900390625,28594.3828125,9473.0546875,38163.58984375,JPRUPIWEBCRP02
2026-09-10,3.488489866256714,1.7329052686691284,5.180848121643066,73.09734344482422,70.81208038330078,81.96258544921875,64.73130798339844,62.386505126953125,67.31974792480469,1238.6064453125,0.0,2806.619140625,27881.505859375,8651.7880859375,38503.4921875,JPRUPIWEBCRP02
2026-09-11,3.666492223739624,1.9171265363693237,5.24992036819458,73.01104736328125,70.772705078125,82.464599609375,64.77784729003906,62.3440055847168,67.46117401123047,1103.349609375,0.0,2974.580078125,28156.0234375,10160.919921875,37843.0234375,JPRUPIWEBCRP02
2026-09-12,6.155575752258301,4.3907928466796875,7.402552604675293,72.84999084472656,70.60203552246094,81.57402038574219,64.89371490478516,62.4078254699707,67.44058990478516,138049.140625,122431.453125,152029.1875,31271.2421875,14785.4638671875,39279.94140625,JPRUPIWEBCRP02
2026-09-13,3.6578426361083984,1.8092466592788696,5.364572525024414,73.08734893798828,70.84001922607422,81.4955062866211,64.94518280029297,62.281883239746094,67.6046142578125,1245.482421875,0.0,4057.412109375,27110.255859375,8100.1513671875,37901.5234375,JPRUPIWEBCRP02
2026-09-14,3.498715877532959,1.6504770517349243,5.503721237182617,73.46730041503906,70.68460083007812,82.15644836425781,65.2206802368164,62.57050323486328,67.96715545654297,1175.189453125,68.2431640625,2916.62109375,28113.744140625,8984.4443359375,37653.78125,JPRUPIWEBCRP02
2026-09-15,3.401858329772949,1.5673953294754028,5.376039505004883,73.70458984375,70.5879898071289,82.50434875488281,65.27165222167969,62.60758590698242,67.98253631591797,917.9873046875,0.0,2378.388671875,27984.00390625,9291.25,37465.328125,JPRUPIWEBCRP02
2026-09-16,3.2882790565490723,1.547533392906189,5.353084564208984,73.6626205444336,70.63015747070312,82.03607940673828,65.27882385253906,62.640663146972656,67.99329376220703,1021.875,43.716796875,2427.2646484375,28004.322265625,9759.830078125,37302.234375,JPRUPIWEBCRP02
2026-09-17,3.375657081604004,1.541601300239563,5.362582206726074,73.74488067626953,70.6818618774414,82.06271362304688,65.33023071289062,62.55942916870117,68.0598373413086,796.109375,0.0,2581.64453125,27747.30859375,9130.6181640625,37263.6484375,JPRUPIWEBCRP02
2026-09-18,3.258183717727661,1.6065130233764648,5.258406639099121,73.83246612548828,70.75506591796875,82.35151672363281,65.35987854003906,62.596214294433594,68.087158203125,186.7294921875,0.0,2493.4482421875,26979.390625,8502.634765625,36557.078125,JPRUPIWEBCRP02
2026-09-19,5.944400787353516,3.92461895942688,7.6478166580200195,73.80203247070312,70.695556640625,82.35206604003906,65.44802856445312,62.574432373046875,68.08289337158203,145620.96875,124193.640625,175788.546875,29918.0078125,13229.3046875,37918.125,JPRUPIWEBCRP02
2026-09-20,3.2552504539489746,1.5834904909133911,5.09013557434082,74.29361724853516,70.79417419433594,82.5716781616211,65.52449798583984,62.56757736206055,68.1675033569336,669.056640625,0.0,3519.1826171875,25326.634765625,8942.427734375,36748.1875,JPRUPIWEBCRP02
2026-09-21,3.2328600883483887,1.54998779296875,5.236115455627441,74.5010757446289,70.9365463256836,82.70780181884766,65.54920196533203,62.53679656982422,68.18218231201172,777.7529296875,0.0,2746.9521484375,26126.73046875,8742.091796875,37739.8515625,JPRUPIWEBCRP02
2026-09-22,3.1498618125915527,1.5351721048355103,5.210086822509766,74.38968658447266,70.92388153076172,82.66033172607422,65.5941162109375,62.654109954833984,68.1353530883789,1240.134765625,18.328125,2830.310546875,26701.59375,8693.54296875,37692.30859375,JPRUPIWEBCRP02
2026-09-23,3.1505110263824463,1.5074458122253418,5.1222758293151855,74.30384826660156,70.8197021484375,82.3496322631836,65.60981750488281,62.6052360534668,68.04952239990234,1180.5869140625,0.0,3192.7177734375,26322.30859375,9501.0234375,37732.9453125,JPRUPIWEBCRP02
2026-09-24,3.192309617996216,1.5581748485565186,5.17189884185791,74.33665466308594,70.88685607910156,82.39205932617188,65.60565185546875,62.58889389038086,68.08766174316406,1156.376953125,121.7568359375,3761.2333984375,26084.359375,9021.833984375,37341.515625,JPRUPIWEBCRP02
2026-09-25,3.227597713470459,1.6137584447860718,5.190748691558838,74.47862243652344,70.89633178710938,82.2723159790039,65.67249298095703,62.479740142822266,68.12545776367188,893.3212890625,0.0,5059.7421875,25525.48828125,8879.783203125,37291.484375,JPRUPIWEBCRP02
2026-09-26,5.876395225524902,3.8168892860412598,7.615718841552734,74.16209411621094,70.86079406738281,82.32583618164062,65.69606018066406,62.514129638671875,68.14350128173828,146409.421875,117930.078125,186206.84375,29023.6875,12162.53125,38492.21875,JPRUPIWEBCRP02
2026-09-27,3.274467706680298,1.5537081956863403,5.290724754333496,74.22283172607422,70.79875183105469,82.65618133544922,65.75711059570312,62.52671813964844,68.1231689453125,872.375,0.0,9403.5625,25206.03515625,8938.318359375,36725.40625,JPRUPIWEBCRP02
2026-09-28,3.209712028503418,1.5366533994674683,5.2788310050964355,74.54083251953125,70.8382568359375,82.42330932617188,65.78545379638672,62.599853515625,68.18045043945312,1100.1162109375,0.0,7790.814453125,25841.265625,8955.953125,37559.4453125,JPRUPIWEBCRP02
